name;brand;picture;taste;color;idealTemperature;origin;scores;price
Wine 1;Brand 1;;A;red;15;Spain;5 4 3 2 1;29
Wine 2;Brand 2;;B;red;16;Spain;6 4 3 2 1;30
Wine 3;Brand 3;;C;red;17;Spain;7 4 3 2 1;31
Wine 4;Brand 4;;A;red;18;Spain;8 4 3 2 1;32
Wine 5;Brand 5;;A;red;19;Spain;9 4 3 2 1;33
Wine 6;Brand 6;;A;red;20;Spain;10 4 3 2 1;34
Wine 7;Brand 7;;A;red;21;Spain;11 4 3 2 1;35
Wine 8;Brand 8;;A;red;22;Spain;12 4 3 2 1;36
Wine 9;Brand 9;;A;red;23;Spain;13 4 3 2 1;37
Wine 10;Brand 10;;A;red;24;Spain;14 4 3 2 1;38
Wine 11;Brand 11;;A;red;25;Spain;15 4 3 2 1;39
