idNumber;name;brand;picture;taste;color;idealTemperature;origin;scores;price
W0001;Wine 1;Brand 1;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0001;58
W0002;Wine 2;Brand 2;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0002;98
W0003;Wine 3;Brand 3;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0003;3
W0004;Wine 4;Brand 4;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0004;19
W0005;Wine 5;Brand 5;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0005;22
W0006;Wine 6;Brand 6;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0006;14
W0007;Wine 7;Brand 7;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0007;47
W0008;Wine 8;Brand 8;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0008;3
W0009;Wine 9;Brand 9;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0009;1
W0010;Wine 10;Brand 10;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0010;1
W0011;Wine 11;Brand 11;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0011;68
W0012;Wine 12;Brand 12;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0012;89
W0013;Wine 13;Brand 13;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0013;35
W0014;Wine 14;Brand 14;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0014;73
W0015;Wine 15;Brand 15;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0015;40
W0016;Wine 16;Brand 16;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0016;17
W0017;Wine 17;Brand 17;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0017;83
W0018;Wine 18;Brand 18;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0018;69
W0019;Wine 19;Brand 19;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0019;72
W0020;Wine 20;Brand 20;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0020;92
W0021;Wine 21;Brand 21;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0021;34
W0022;Wine 22;Brand 22;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0022;11
W0023;Wine 23;Brand 23;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0023;78
W0024;Wine 24;Brand 24;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0024;24
W0025;Wine 25;Brand 25;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0025;88
W0026;Wine 26;Brand 26;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0026;96
W0027;Wine 27;Brand 27;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0027;51
W0028;Wine 28;Brand 28;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0028;62
W0029;Wine 29;Brand 29;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0029;100
W0030;Wine 30;Brand 30;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0030;74
W0031;Wine 31;Brand 31;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0031;75
W0032;Wine 32;Brand 32;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0032;21
W0033;Wine 33;Brand 33;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0033;64
W0034;Wine 34;Brand 34;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0034;38
W0035;Wine 35;Brand 35;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0035;92
W0036;Wine 36;Brand 36;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0036;89
W0037;Wine 37;Brand 37;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0037;98
W0038;Wine 38;Brand 38;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0038;62
W0039;Wine 39;Brand 39;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0039;81
W0040;Wine 40;Brand 40;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0040;93
W0041;Wine 41;Brand 41;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0041;23
W0042;Wine 42;Brand 42;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0042;61
W0043;Wine 43;Brand 43;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0043;76
W0044;Wine 44;Brand 44;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0044;83
W0045;Wine 45;Brand 45;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0045;98
W0046;Wine 46;Brand 46;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0046;83
W0047;Wine 47;Brand 47;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0047;71
W0048;Wine 48;Brand 48;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0048;51
W0049;Wine 49;Brand 49;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0049;60
W0050;Wine 50;Brand 50;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0050;25
W0051;Wine 51;Brand 51;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0051;83
W0052;Wine 52;Brand 52;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0052;66
W0053;Wine 53;Brand 53;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0053;63
W0054;Wine 54;Brand 54;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0054;86
W0055;Wine 55;Brand 55;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0055;7
W0056;Wine 56;Brand 56;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0056;25
W0057;Wine 57;Brand 57;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0057;99
W0058;Wine 58;Brand 58;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0058;87
W0059;Wine 59;Brand 59;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0059;91
W0060;Wine 60;Brand 60;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0060;70
W0061;Wine 61;Brand 61;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0061;73
W0062;Wine 62;Brand 62;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0062;6
W0063;Wine 63;Brand 63;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0063;33
W0064;Wine 64;Brand 64;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0064;21
W0065;Wine 65;Brand 65;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0065;98
W0066;Wine 66;Brand 66;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0066;1
W0067;Wine 67;Brand 67;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0067;66
W0068;Wine 68;Brand 68;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0068;93
W0069;Wine 69;Brand 69;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0069;41
W0070;Wine 70;Brand 70;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0070;20
W0071;Wine 71;Brand 71;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0071;17
W0072;Wine 72;Brand 72;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0072;69
W0073;Wine 73;Brand 73;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0073;99
W0074;Wine 74;Brand 74;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0074;55
W0075;Wine 75;Brand 75;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0075;88
W0076;Wine 76;Brand 76;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0076;57
W0077;Wine 77;Brand 77;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0077;87
W0078;Wine 78;Brand 78;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0078;3
W0079;Wine 79;Brand 79;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0079;92
W0080;Wine 80;Brand 80;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0080;77
W0081;Wine 81;Brand 81;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0081;16
W0082;Wine 82;Brand 82;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0082;49
W0083;Wine 83;Brand 83;./public/img/testImage.webp;taste test;Red;20;Spain;U0025 U0083;57
W0084;Wine 84;Brand 84;./public/img/testImage.webp;taste test;Red;21;Spain;U0025 U0084;73
W0085;Wine 85;Brand 85;./public/img/testImage.webp;taste test;Red;22;Spain;U0025 U0085;84
W0086;Wine 86;Brand 86;./public/img/testImage.webp;taste test;Red;23;Spain;U0025 U0086;36
W0087;Wine 87;Brand 87;./public/img/testImage.webp;taste test;Red;24;Spain;U0025 U0087;4
W0088;Wine 88;Brand 88;./public/img/testImage.webp;taste test;Red;25;Spain;U0025 U0088;39
W0089;Wine 89;Brand 89;./public/img/testImage.webp;taste test;Red;15;Spain;U0025 U0089;32
W0090;Wine 90;Brand 90;./public/img/testImage.webp;taste test;Red;16;Spain;U0025 U0090;97
W0091;Wine 91;Brand 91;./public/img/testImage.webp;taste test;Red;17;Spain;U0025 U0091;85
W0092;Wine 92;Brand 92;./public/img/testImage.webp;taste test;Red;18;Spain;U0025 U0092;41
W0093;Wine 93;Brand 93;./public/img/testImage.webp;taste test;Red;19;Spain;U0025 U0093;35
